time,theta_0_rad,omega_0_rad_per_s,theta_1_rad,omega_1_rad_per_s,theta_2_rad,omega_2_rad_per_s
16.74399999953528,0.12619209257972674,0.1446528205699994,0.02234793481735486,0.5961494397226076,0.3481355443638245,-0.2565413386490227
16.744999999535242,0.1267854052207969,0.144985980963691,0.022104445661013303,0.590471858519307,0.3181328642574636,-0.23037435165128292
16.745999999535204,0.12737302827428468,0.14528898716463137,0.02188730514628408,0.5847702093059038,0.28783279099280934,-0.20385029652660008
16.746999999535166,0.12795493750357925,0.145561558707773,0.021696851487236376,0.5790441520333244,0.25726920562689565,-0.17700700427919547
16.74799999953513,0.12853110832346334,0.14580344905125972,0.021533384736102404,0.5732933295230742,0.2264760425082949,-0.14988293077283166
16.74899999953509,0.1291015157829403,0.14601444554400048,0.021397166263436615,0.5675173673808407,0.195487125196425,-0.12251695225100817
16.749999999535053,0.12966613454797493,0.14619436925180523,0.02128841842540654,0.5617158739086812,0.16433604815506997,-0.09494819614838793
16.750999999535015,0.1302249388841443,0.1463430746888629,0.021207324381548938,0.5558884400137635,0.13305610576852125,-0.06721590952898314
16.751999999534977,0.13077790263919561,0.14646044950149,0.021154028025253006,0.550034639112299,0.10168026742037409,-0.03935936494531303
16.75299999953494,0.1313249992255046,0.14654641414842162,0.021128633990712145,0.5441540270280231,0.07024119460858058,-0.011417800982559944
16.7539999995349,0.13186620160243,0.14660092161659463,0.02113120770401621,0.5382461418852853,0.038771293527444045,0.01656960759235681
16.754999999534864,0.1324014822585592,0.1466239572036916,0.021161775452168765,0.5323105039974589,0.007302794396615991,0.04456375715108921
16.755999999534826,0.1329308131938394,0.14661553838912914,0.021220324451686118,0.526346615751906,-0.024132152797825063,0.07252560857216277
16.756999999534788,0.13345416590159373,0.14657571480430673,0.021306802907521072,0.5203539614931578,-0.055501377457001885,0.1004161761448589
16.75799999953475,0.13397151135041938,0.1465045683014232,0.021421120062723373,0.5143320074061958,-0.086772593989284,0.12819652174700058
16.758999999534712,0.13448281996597125,0.14640221310877258,0.021563146248831332,0.5082802014017471,-0.11791332501069941,0.1558277636117588
16.759999999534674,0.1349880616126311,0.14626879604983103,0.021732712955822294,0.5021979730053738,-0.14889085209254568,0.18327110793395698
16.760999999534636,0.1354872055750695,0.1461044967943153,0.021929612947929368,0.4960847332517696,-0.1796722022663463,0.21048790993834232
16.7619999995346,0.13598022053970468,0.14590952810226737,0.022153600457247975,0.4899398745851493,-0.2102241762503179,0.23743976895840282
16.76299999953456,0.13646707457606425,0.1456841360175314,0.0224043914904372,0.48376277076595997,-0.2405134217780904,0.264088659702345
16.763999999534523,0.13694773511805813,0.14542859996497126,0.022681664284748927,0.4775527767833298,-0.27050655266168305,0.29039709937936353
16.764999999534485,0.13742216894516474,0.14514323270652313,0.022985059948049585,0.4713092287718383,-0.300170311486311,0.31632834789685627
16.765999999534447,0.1378903421635363,0.1448283801145777,0.023314183313557793,0.46503144393030543,-0.32947177128824934,0.34184663608275606
16.76699999953441,0.13835222018702123,0.14448442072696613,0.023668604033988516,0.4587187204394594,-0.3583785693638431,0.3669174149817973
16.76799999953437,0.13880776771810382,0.1441117650555925,0.024047857932080294,0.4523703373745785,-0.38685916462328007,0.3915076178346886
16.768999999534334,0.1392569487287512,0.14371085462997416,0.024451448615594642,0.4459855546085431,-0.41488310872425005,0.4155859254508378
16.769999999534296,0.1396997264411561,0.14328216076706066,0.024878849355378155,0.4395636127002449,-0.4424213206423658,0.4391230253617781
16.770999999534258,0.14013606330835965,0.1428261830690806,0.025329505215539352,0.43310373276297065,-0.46944635435731863,0.4620918553840198
16.77199999953422,0.14056592099472906,0.14234344766124,0.025802835415760214,0.4266051163072443,-0.4959326499148634,0.4844678229774466
16.772999999534182,0.1409892603562634,0.14183450519034121,0.026298235897711953,0.42006694505266984,-0.5218567591883284,0.506228992976449
16.773999999534144,0.14140604142069463,0.14129992861337293,0.026815082060858534,0.41348838070355987,-0.5471975391064043,0.5273562377899372
16.774999999534106,0.14181622336734215,0.14074031081151794,0.027352731627879472,0.4068685646835542,-0.5719363068173989,0.5478333458942212
16.77599999953407,0.1422197645066816,0.1401562620696442,0.02791052759667247,0.4002066178249916,-0.5960569530995085,0.5676470862578731
16.77699999953403,0.14261662225957733,0.13954840746410377,0.028487801234436495,0.3935016400094951,-0.6195460121822823,0.5867872281257394
16.777999999533993,0.14300675313613084,0.13891738420260175,0.029083875069607613,0.386752709756998,-0.64239268790988,0.6052465172507622
16.778999999533955,0.14339011271409188,0.1382638389591595,0.029698065839256903,0.37995888376129255,-0.664588837764918,0.6230206111186251
16.779999999533917,0.14376665561677657,0.1375884252449774,0.030329687352725957,0.37311919637104946,-0.686128917618758,0.6401079769063031
16.78099999953388,0.1441363354904406,0.13689180085258376,0.03097805323649398,0.36623265901613045,-0.7070098911404682,0.6565097568206318
16.78199999953384,0.14449910498105084,0.13617462540630923,0.03164247953024411,0.3592982595798846,-0.727231108566087,0.6722296060688402
16.782999999533804,0.14485491571040288,0.1354375580471673,0.032322287109531354,0.3523149617189293,-0.7467941600065776,0.6872735090309535
16.783999999533766,0.14520371825153294,0.1346812552749163,0.033016803916071695,0.34528170413268555,-0.7657027086778099,0.7016495792607691
16.784999999533728,0.14554546210337627,0.13390636896469474,0.033725366982233704,0.33819739978564256,-0.7839623094022868,0.7153678487750471
